longname,hashname
1.6.5.3: NADH:ubiquinone reductase (H(+)-translocating),xGRJxwOPAEkH
2.7.7.25: Transferred entry: 2.7.7.72,ZdwtvqHRycBY
2.7.8.35: N-acetylglucosaminephosphotransferase,mGTkhjwoeUzm
"4.2.1.147: 5,6,7,8-tetrahydromethanopterin hydro-lyase",KszTTtIMFoQp
2.1.1.98: Diphthine synthase,CqLWgxmNmkVL
1.12.7.2: Ferredoxin hydrogenase,NgNLwmEOcBSr
3.5.4.1: Cytosine deaminase,YrCKywEZyhVN
1.1.1.37: Malate dehydrogenase,qeEwsMRSUhgz
1.13.11.27: 4-hydroxyphenylpyruvate dioxygenase,vtxWJDfbrtIy
1.6.99.5: Transferred entry: 1.6.5.11,gmCtuXWVMYsu
3.3.2.12: Oxepin-CoA hydrolase,rlasObtDcmNR
1.7.1.13: PreQ(1) synthase,yAxgpCUZhsMN
1.14.14.51: NO_NAME,PhEDKqFwIVOh
2.5.1.6: Methionine adenosyltransferase,mKroYXXtuYaW
1.1.1.210: 3-beta-(or 20-alpha)-hydroxysteroid dehydrogenase,IMXQhSgcavoG
7.2.4.2: NO_NAME,VIBpumQJcLOa
1.1.1.62: 17-beta-estradiol 17-dehydrogenase,RSWECQFzrHPY
4.1.1.47: Tartronate-semialdehyde synthase,XazLSYHUmpMd
3.1.3.77: Acireductone synthase,egCrRsrvLIME
3.5.3.10: D-arginase,EqMUIZMytKmr
2.1.1.206: tRNA (cytidine(56)-2'-O)-methyltransferase,mKzdHcneXzKL
4.3.99.4: Choline trimethylamine-lyase,oUhdCYmpPnJz
1.1.1.22: UDP-glucose 6-dehydrogenase,FLRSxKjBkrgS
5.3.1.8: Mannose-6-phosphate isomerase,SZuGaMCVkmLt
1.1.1.266: dTDP-4-dehydro-6-deoxyglucose reductase,SdnYLRpzIwFO
4.1.1.39: Ribulose-bisphosphate carboxylase,unrUBvUNkYLs
1.1.1.133: dTDP-4-dehydrorhamnose reductase,cgAtmtYqdaGS
6.2.1.26: o-succinylbenzoate--CoA ligase,SgGZclvCDDim
2.1.1.178: 16S rRNA (cytosine(1407)-C(5))-methyltransferase,xqfQjXCGISqU
"3.1.4.37: 2',3'-cyclic-nucleotide 3'-phosphodiesterase",WCnuYWfSDMcC
3.4.24.83: Anthrax lethal factor endopeptidase,JDNLYnptFCfn
3.2.1.187: (Ara-f)(3)-Hyp beta-L-arabinobiosidase,DLQeScBEghSP
"1.13.11.24: Quercetin 2,3-dioxygenase",aTMcOOXtGwhq
1.1.1.193: 5-amino-6-(5-phosphoribosylamino)uracil reductase,zVxTWEGYqbKl
1.4.1.21: Aspartate dehydrogenase,IslHzgYlWHCX
3.4.11.4: Tripeptide aminopeptidase,gbnIdOtqObmT
3.1.2.20: Acyl-CoA hydrolase,NNKtLpEcivmN
2.3.1.n3: Glycerol-3-phosphate acyltransferase (acyl-phosphate transferring),ffqIwLJUDOul
6.1.1.19: Arginine--tRNA ligase,OqVUAPLSFhXY
1.1.1.306: S-(hydroxymethyl)mycothiol dehydrogenase,XGfuLmLRFJSt
3.4.11.6: Aminopeptidase B,jvqOcZEZIHJr
2.7.7.61: Citrate lyase holo-[acyl-carrier protein] synthase,sYYqehIaRwSl
2.6.1.18: Beta-alanine--pyruvate transaminase,AOTJrmHeyEGB
3.2.2.20: DNA-3-methyladenine glycosylase I,wdsPOIcBoGMS
2.2.1.6: Acetolactate synthase,uyIPdZULpvyi
2.1.1.200: tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase,OHyPLPyplpZg
1.6.99.n1: NADPH dehydrogenase (coenzyme F420 dependent),GqEKbFtJolAP
"4.2.1.135: UDP-N-acetylglucosamine 4,6-dehydratase (configuration-retaining)",ETdBRhuXcUno
1.11.1.7: Peroxidase,zBemcoiLGRgO
3.6.3.18: Oligosaccharide-transporting ATPase,JTzrXuahHfmh
2.2.1.9: synthase,VIHXvZRpRlbg
3.5.3.6: Arginine deiminase,nxNnuRMAzBaG
4.1.1.71: 2-oxoglutarate decarboxylase,nuSStzmZjQwY
5.4.99.24: 23S rRNA pseudouridine(955/2504/2580) synthase,tkwRbcrqLXvp
2.7.1.89: Thiamine kinase,LaChdquFQlIp
2.4.1.20: Cellobiose phosphorylase,ErUGtlmUzXcH
4.1.2.40: Tagatose-bisphosphate aldolase,buRTSOuKpnMt
5.3.1.35: NO_NAME,XpohfFmUbrLg
1.1.1.29: Glycerate dehydrogenase,OTgEhEfheLNt
3.1.2.23: 4-hydroxybenzoyl-CoA thioesterase,lGlXJxZHeFzn
2.7.7.64: UTP-monosaccharide-1-phosphate uridylyltransferase,xrZDwhjJEsVv
2.4.1.305: glucosyltransferase,XgVnpdymTYhI
2.3.1.19: Phosphate butyryltransferase,criHQcIJfIhn
3.2.1.1: Alpha-amylase,dfOkvQvGezPm
3.1.26.11: Ribonuclease Z,cJngiOEtjOrm
4.2.1.99: 2-methylisocitrate dehydratase,yUOzePZZMaBp
2.1.1.163: Demethylmenaquinone methyltransferase,fBLEVYOnWckc
1.15.1.1: Superoxide dismutase,HIIdCLQyftZj
2.7.1.55: Allose kinase,TedKHNnzWqsN
5.1.3.15: Glucose-6-phosphate 1-epimerase,UINfdJXRdyoK
6.1.1.16: Cysteine--tRNA ligase,rfnLzBcuCLqo
5.3.1.12: Glucuronate isomerase,eFEdjYilBoqp
5.3.1.25: L-fucose isomerase,weLWfoHBJnPo
2.7.1.20: Adenosine kinase,HRzYJEAoWweW
2.7.11.1: Non-specific serine/threonine protein kinase,dhrkNeHKmCkC
2.7.7.65: Diguanylate cyclase,NdoMRaynkcDB
"2.6.1.33: dTDP-4-amino-4,6-dideoxy-D-glucose transaminase",CwEkWqKMJAhi
1.2.1.5: Aldehyde dehydrogenase (NAD(P)(+)),mjOFNMUHgUas
1.14.11.16: Peptide-aspartate beta-dioxygenase,hlJGwKcXcpit
1.8.98.1: CoB--CoM heterodisulfide reductase,UdXprVJpdCqw
2.5.1.84: All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific),usmNFVdWRKOK
3.2.1.40: Alpha-L-rhamnosidase,jajTEXpmTUVP
4.1.99.14: Spore photoproduct lyase,NIITgdDrgeYa
7.2.2.7: NO_NAME,RAfDDCvjflar
1.14.15.3: Alkane 1-monooxygenase,AmKqbvzOcddT
1.7.2.1: Nitrite reductase (NO-forming),KGilXHWdTbkJ
4.1.1.41: Methylmalonyl-CoA decarboxylase,oqADBWOYZXKv
6.1.1.11: Serine--tRNA ligase,NUrDxbgCoDRx
6.4.1.3: Propionyl-CoA carboxylase,NwUzXsaedqAN
"3.1.3.7: 3'(2'),5'-bisphosphate nucleotidase",QPmUnHQcnCKA
1.11.1.15: Peroxiredoxin,TntpCVdthyKJ
4.2.2.n1: Peptidoglycan lytic exotransglycosylase,vWjwsLZxGXYe
1.3.5.4: Fumarate reductase (quinol),iYPnrXPQsXEI
2.4.1.281: 4-O-beta-D-mannosyl-D-glucose phosphorylase,MfyjDxFuBvvd
"3.7.1.19: 2,6-dihydroxypseudooxynicotine hydrolase",xnenqOoGeLVS
1.1.1.94: Glycerol-3-phosphate dehydrogenase (NAD(P)(+)),xQqQBajQyJTE
2.7.7.28: Nucleoside-triphosphate-aldose-1-phosphate nucleotidyltransferase,fNNIDbWylbAQ
1.1.1.93: Tartrate dehydrogenase,vQjejkYTrejy
2.7.3.3: Arginine kinase,PGwOHrhZvJQg
2.5.1.120: Aminodeoxyfutalosine synthase,vTLktLsQxOiL
2.4.2.3: Uridine phosphorylase,WQYEKUyeEuHp
6.3.3.3: Dethiobiotin synthase,mYEyXUDScUzf
3.11.1.3: Phosphonopyruvate hydrolase,jBBBKgKmZyYA
1.3.7.7: Ferredoxin:protochlorophyllide reductase (ATP-dependent),HtoGCkyhbmHN
3.4.21.48: Cerevisin,TQHFSQItmBBr
2.1.1.193: 16S rRNA (uracil(1498)-N(3))-methyltransferase,qsXUdlbjYcDG
6.1.1.22: Asparagine--tRNA ligase,uBExbMzpdWKk
3.1.3.13: Bisphosphoglycerate phosphatase,NBtWxOOUvlKx
1.1.1.201: 7-beta-hydroxysteroid dehydrogenase (NADP(+)),HBNcyJWfrfHf
2.3.1.85: Fatty-acid synthase,btImjNSldRPA
3.5.1.88: Peptide deformylase,tymXEXIchhHu
1.20.4.4: Arsenate reductase (thioredoxin),rWNMDqhsBUfX
"1.3.99.3: Transferred entry: 1.3.8.7, 1.3.8.8 and 1.3.8.9",pmLpdaQsfouR
4.1.1.12: Aspartate 4-decarboxylase,TgtGqCFipNlB
3.5.1.4: Amidase,RCbraMKbkHeA
2.5.1.97: Pseudaminic acid synthase,vadSSBBkHKCi
5.1.99.7: Dihydroneopterin triphosphate 2'-epimerase,NhPnKKoioHVl
3.5.1.5: Urease,URbnPZigAXhi
3.4.21.53: Endopeptidase La,QbJtpYfTWYcx
2.3.1.9: Acetyl-CoA C-acetyltransferase,VyAutRggycev
3.6.1.63: Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,nHJQFIqfFAvu
6.2.1.33: 4-chlorobenzoate--CoA ligase,hCenmiYCSAyz
1.1.1.305: UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating),bCCKZFFfGagd
3.6.1.61: Diadenosine hexaphosphate hydrolase (ATP-forming),kqvAwfwhrqHR
3.6.1.11: Exopolyphosphatase,DsXzidPLWbUh
4.2.2.22: Pectate trisaccharide-lyase,AQxstBuPQdpA
1.16.1.3: Aquacobalamin reductase,BjBlnpnLgbiu
3.4.21.69: Protein C (activated),jztkPFgwMhiB
4.2.2.12: Xanthan lyase,lFBPfZdNoKMp
3.4.22.10: Streptopain,CdipmVENgspR
2.3.1.174: 3-oxoadipyl-CoA thiolase,ikQZABJkFBMp
3.6.1.45: UDP-sugar diphosphatase,MbvKuQWAZgBp
4.2.1.157: (R)-2-hydroxyisocaproyl-CoA dehydratase,jyRalirCdgaH
3.4.19.1: Acylaminoacyl-peptidase,RrsBuYyuvDHF
2.4.2.12: Nicotinamide phosphoribosyltransferase,cTbgsfSMgnOq
"2.4.1.64: Alpha,alpha-trehalose phosphorylase",oiGYtSmGcVEs
2.1.1.171: 16S rRNA (guanine(966)-N(2))-methyltransferase,pIMVPFdtaeuJ
5.1.1.20: L-Ala-D/L-Glu epimerase,VAJnzMpHVHgo
3.2.1.51: Alpha-L-fucosidase,vkKgTBMtugCG
3.6.1.26: CDP-diacylglycerol diphosphatase,ypQOGrTTcyyd
3.4.22.8: Clostripain,KZgkWhUOVBMn
1.17.4.2: Ribonucleoside-triphosphate reductase,dbIgIHZzcZGL
5.3.1.24: Phosphoribosylanthranilate isomerase,iFkZJRaRXDbM
"1.3.1.34: 2,4-dienoyl-CoA reductase (NADPH)",QdGqCfFwMDdi
4.2.1.2: Fumarate hydratase,vCOfMDqXrotx
"4.6.1.12: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",USwTTVGewkUD
1.1.1.336: UDP-N-acetyl-D-mannosamine dehydrogenase,pvJpNFpZgXNE
4.3.1.14: 3-aminobutyryl-CoA ammonia-lyase,vmudfvGusgUO
4.2.1.51: Prephenate dehydratase,uIvAjCJAQiak
2.7.1.69: Protein-N(pi)-phosphohistidine--sugar phosphotransferase,zkcZiUHGPevk
4.2.2.8: Heparin-sulfate lyase,fWztlEvMSYJv
1.14.99.46: Pyrimidine monooxygenase,NVvdaQWBsNme
2.6.1.14: Asparagine--oxo-acid transaminase,NvqkVHpyrIwD
3.2.1.180: Unsaturated chondroitin disaccharide hydrolase,oDTVnjkdiMvc
2.7.11.22: Cyclin-dependent kinase,RJqWiarOiYVD
1.8.2.3: Sulfide-cytochrome-c reductase (flavocytochrome c),WPRXijBlWKad
1.4.3.10: Putrescine oxidase,YCpEZCLUwyfm
2.4.1.87: N-acetyllactosaminide 3-alpha-galactosyltransferase,qUrmfbeqLzkc
"3.6.1.54: UDP-2,3-diacylglucosamine diphosphatase",UvaGjwsWKCeT
"3.2.1.91: Cellulose 1,4-beta-cellobiosidase (non-reducing end)",kusmrbTGkiXZ
3.2.2.26: Futalosine hydrolase,qqshSmDoqnsE
1.17.99.5: Transferred entry: 1.17.98.1,IcwJVqsdbNVE
3.1.6.1: Arylsulfatase,QFWhyHiSyySV
5.1.3.12: UDP-glucuronate 5'-epimerase,klKuxKTnHXyN
5.1.3.3: Aldose 1-epimerase,lwcMshjIjdrZ
2.4.2.9: Uracil phosphoribosyltransferase,WmFHkWJOfcNZ
1.4.3.21: Primary-amine oxidase,WLLyEmtYptav
1.6.99.3: NADH dehydrogenase,heTJpnTsaoGY
2.1.1.131: Precorrin-3B C(17)-methyltransferase,tgOQKfNpDJIR
"1.14.12.21: Benzoyl-CoA 2,3-dioxygenase",QjgWQEIZiuhf
2.7.1.166: 3-deoxy-D-manno-octulosonic acid kinase,LJGdKZIvFzqP
2.6.1.9: Histidinol-phosphate transaminase,WrcWkLgVfwZK
2.3.1.8: Phosphate acetyltransferase,EGBJbLAcqdXN
1.8.1.9: Thioredoxin-disulfide reductase,ceWlvMhngRVR
3.6.3.28: Phosphonate-transporting ATPase,erTpTtDRghgr
5.1.3.22: L-ribulose-5-phosphate 3-epimerase,HbpQnzjHsDCN
2.4.1.161: Oligosaccharide 4-alpha-D-glucosyltransferase,zMrzSQqjCExS
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase,yOYopIXEpNBE
1.3.1.9: Enoyl-[acyl-carrier-protein] reductase (NADH),mDZlkHuvQmDr
1.1.1.137: Ribitol-5-phosphate 2-dehydrogenase,YWDJkYfPlluO
1.3.7.8: Benzoyl-CoA reductase,uDFlUCdgIqbV
3.4.13.22: D-Ala-D-Ala dipeptidase,HgKXdvQYhkJi
4.1.2.14: 2-dehydro-3-deoxy-phosphogluconate aldolase,kGqzWyyopkBT
2.3.3.16: Citrate synthase (unknown stereospecificity),zsFkvrFBtSDL
3.4.22.37: Gingipain R,thHsDXoPQcUs
2.7.1.199: NO_NAME,zytnguQyvasu
4.2.2.21: Chondroitin-sulfate-ABC exolyase,dDceysJVBpzE
"1.1.1.292: 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)",xcfedRBRykgX
1.2.1.51: Pyruvate dehydrogenase (NADP(+)),dDBkbqBvzIRs
1.1.1.86: Ketol-acid reductoisomerase (NADP(+)),NYLAlyCAhCPW
"3.2.1.99: Arabinan endo-1,5-alpha-L-arabinosidase",qsKAaQcgvpgP
3.2.2.4: AMP nucleosidase,bKLjJEFaxWsh
2.4.1.44: Lipopolysaccharide 3-alpha-galactosyltransferase,iFAUYoeYxmMO
1.10.99.2: Transferred entry: 1.10.5.1,bGPCmADaMGsa
2.4.1.283: 2-deoxystreptamine N-acetyl-D-glucosaminyltransferase,FMiBuHRlhLKF
5.1.3.n2: Transferred entry: 5.1.3.29,TwElVoUyGyRt
2.4.1.10: Levansucrase,kiSRebOtwgIS
4.3.1.29: D-glucosaminate-6-phosphate ammonia lyase,bDWBKhnmGDkE
2.4.1.57: Phosphatidylinositol alpha-mannosyltransferase,oDywTdilaSQr
2.7.4.6: Nucleoside-diphosphate kinase,yzHcrGVnRGAy
3.6.3.36: Taurine-transporting ATPase,uxEWXeMTzDLJ
3.1.3.25: Inositol-phosphate phosphatase,hoftYVELPwIB
1.14.13.22: Cyclohexanone monooxygenase,wJaKqwrJPGly
4.1.3.27: Anthranilate synthase,YUwrIPtmjOlv
"5.5.1.5: Carboxy-cis,cis-muconate cyclase",mIBibdGqOEez
4.6.1.13: Phosphatidylinositol diacylglycerol-lyase,SbRLgfTbRKHZ
2.3.1.179: Beta-ketoacyl-[acyl-carrier-protein] synthase II,ZYpVHAJBUPfc
2.1.1.182: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,HyvmHnXKbcVf
2.7.8.14: CDP-ribitol ribitolphosphotransferase,vHlHfYRFPFDw
2.8.3.10: Citrate CoA-transferase,TVeMXYOhbjia
3.7.1.9: 2-hydroxymuconate-6-semialdehyde hydrolase,MdvNYXajvXAm
2.4.1.352: NO_NAME,uvOEfeRvXNqe
"3.1.3.97: 3',5'-nucleoside bisphosphate phosphatase",BTnBMzgQvSHj
1.3.1.84: Acrylyl-CoA reductase (NADPH),JjFWccOiEHgY
3.4.24.75: Lysostaphin,MJYpnImILdEG
4.7.1.1: Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase,oJJykwEGOUOA
3.1.26.3: Ribonuclease III,qxmQMgKcdzpU
3.4.22.40: Bleomycin hydrolase,MPyCUEoYvKOj
2.5.1.46: Deoxyhypusine synthase,zKEpiiDfHsBv
2.3.3.10: Hydroxymethylglutaryl-CoA synthase,KttFxSFzBrAc
"3.2.1.10: Oligo-1,6-glucosidase",uVdfwWdApcqU
3.6.3.25: Sulfate-transporting ATPase,mmncPIlqqxqI
2.1.1.79: Cyclopropane-fatty-acyl-phospholipid synthase,lBqjIiwzfyvF
2.2.1.3: Formaldehyde transketolase,zZYefwypZcYJ
2.5.1.66: N(2)-(2-carboxyethyl)arginine synthase,eIaNyheFOclD
1.6.5.9: NADH:ubiquinone reductase (non-electrogenic),FqSOvHDzhCTh
1.20.1.1: Phosphonate dehydrogenase,RiFwWZBdystF
7.2.2.1: NO_NAME,xTzegoDJQNhx
2.7.7.15: Choline-phosphate cytidylyltransferase,dlSGTtzEyWXE
6.3.5.12: NO_NAME,OdEemkstTwkR
3.1.3.73: Adenosylcobalamin/alpha-ribazole phosphatase,OfgJZrslCDGq
4.3.2.7: NO_NAME,YFTJUTXZNVwt
3.2.1.132: Chitosanase,HavpTUgPNnvK
3.1.8.1: Aryldialkylphosphatase,eMOFqwvIYYbT
1.1.1.408: NO_NAME,NaEBQOFocrkA
1.3.3.3: Coproporphyrinogen oxidase,lZMlpzqFIcyr
4.1.1.23: Orotidine-5'-phosphate decarboxylase,lGSULiIJCUoP
2.7.1.51: L-fuculokinase,hCGENoBZaLPA
3.6.3.4: Cu(2+)-exporting ATPase,xvdsuUWBmxcH
5.4.2.8: Phosphomannomutase,djfdResJyhIS
1.1.1.205: IMP dehydrogenase,IUuTVQIHUFZA
2.1.1.250: [Trimethylamine--corrinoid protein] Co-methyltransferase,LfaShCeoMppt
4.1.1.18: Lysine decarboxylase,mfFfxwMnDDzN
1.2.7.3: 2-oxoglutarate synthase,xZOtlrWByXxK
1.2.3.1: Aldehyde oxidase,eCcYQTFMiyzL
2.7.1.170: Anhydro-N-acetylmuramic acid kinase,MawDQIsYBtqh
1.4.5.1: D-amino acid dehydrogenase (quinone),zDAreCnnEyFu
2.7.1.76: Deoxyadenosine kinase,WPJygMWeDyzK
1.4.1.13: Glutamate synthase (NADPH),vUOGxfJRBJux
"4.1.1.64: 2,2-dialkylglycine decarboxylase (pyruvate)",nnYFbxhCJTGv
4.3.1.7: Ethanolamine ammonia-lyase,QalPbeoZpXYD
2.3.1.203: UDP-N-acetylbacillosamine N-acetyltransferase,YZrIYqmsQyzm
5.4.99.19: 16S rRNA pseudouridine(516) synthase,wkQKWSyjjLKb
2.7.4.2: Phosphomevalonate kinase,PuIMApdJiGKt
1.1.5.3: Glycerol-3-phosphate dehydrogenase,CRjILqjyUxQu
2.1.1.198: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase,nXKNvAUIreGa
1.1.1.317: Perakine reductase,tkmleSDvysqx
"3.2.1.n2: Blood group B linear chain alpha-1,3-galactosidase",TcDYHGHyYAJk
1.8.1.16: Glutathione amide reductase,jPypWHdmrqil
3.4.24.11: Neprilysin,jyMHVPSbMZRe
2.1.1.188: 23S rRNA (guanine(748)-N(1))-methyltransferase,XIDhGabyNExa
2.1.1.197: Malonyl-[acyl-carrier protein] O-methyltransferase,cJqolMhAcAKr
3.4.23.36: Signal peptidase II,MlmbVGxECipU
"1.1.1.76: (S,S)-butanediol dehydrogenase",eIRXnnbPQMKs
2.6.1.39: 2-aminoadipate transaminase,DYhdKieeJquw
3.5.1.54: Allophanate hydrolase,exrfyDjpksEh
2.3.1.82: Aminoglycoside 6'-N-acetyltransferase,djChNpMZLiMh
3.1.21.9: T(4) deoxyribonuclease IV,qIMcRTWytWdu
3.6.1.8: ATP diphosphatase,jyupzQCBMElh
2.6.1.42: Branched-chain-amino-acid transaminase,eqwuYHDTmRzk
2.4.1.26: DNA alpha-glucosyltransferase,WfEwoDykLHDx
2.7.1.148: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,cnwFrhloVugK
3.2.1.141: 4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase,PgISGrGIqRaz
1.1.1.303: Diacetyl reductase ((R)-acetoin forming),vdXFdwrOjcYu
3.1.13.1: Exoribonuclease II,nlUmgPNJeuCa
3.1.2.6: Hydroxyacylglutathione hydrolase,LWXCouwujHFa
1.3.1.26: Transferred entry: 1.17.1.8,BOnpUzJgCrDD
2.4.1.8: Maltose phosphorylase,egfYviASyTgx
2.4.1.69: Galactoside 2-alpha-L-fucosyltransferase,vgBbYPrkqvpa
3.8.1.2: (S)-2-haloacid dehalogenase,jSJVTtXKCTYw
1.3.3.1: Transferred entry: 1.3.98.1,CyLXikUlzvsb
3.2.1.50: Alpha-N-acetylglucosaminidase,fxQGffxGGKFw
3.5.4.28: S-adenosylhomocysteine deaminase,VLDaptHabZIc
1.10.3.9: Photosystem II,nWoFmaFLBblo
2.6.1.83: LL-diaminopimelate aminotransferase,snJHfggePNDn
1.2.99.6: Carboxylate reductase,GvsHPdRrOiTX
3.4.15.5: Peptidyl-dipeptidase Dcp,yJVvnrumwBOp
4.1.1.96: Carboxynorspermidine decarboxylase,ABWBLvUgjHdm
2.7.7.24: Glucose-1-phosphate thymidylyltransferase,tajsTjVoBhQp
3.5.3.19: Transferred entry: 3.5.1.116,JAdnpTtfBNDt
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase,VNayJXEYfMtO
5.3.3.6: Methylitaconate Delta-isomerase,WInEUSOJRGCd
1.9.6.1: Nitrate reductase (cytochrome),TFZNnlFwxBrk
5.3.1.1: Triose-phosphate isomerase,NHlRNEKpzlse
"3.2.1.39: Glucan endo-1,3-beta-D-glucosidase",JahdlWOHdPfI
1.1.1.36: Acetoacetyl-CoA reductase,QUNlEpKkCbmW
"1.3.1.25: 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase",YmWuLIUVPoHg
6.3.2.10: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,GOjekAGkLDLG
6.1.1.24: Glutamate--tRNA(Gln) ligase,imkhdWbTLANg
1.2.1.76: Succinate-semialdehyde dehydrogenase (acetylating),qpVMksRNvlZd
5.1.3.5: UDP-arabinose 4-epimerase,VxWjyPAMxNnD
3.2.1.68: Isoamylase,mTAJdjlFAsEz
2.4.2.4: Thymidine phosphorylase,CmPeGwgKIDUZ
1.1.99.30: 2-oxo-acid reductase,fYLTReYmtWsn
1.3.5.2: Dihydroorotate dehydrogenase (quinone),EBDloOGQmHnF
1.1.1.28: D-lactate dehydrogenase,NOLruOddoErR
"2.5.1.77: 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase",KjZwFBEjhGPT
1.4.1.2: Glutamate dehydrogenase,rvudcJSpATcl
2.7.7.81: Pseudaminic acid cytidylyltransferase,kUDFYXGcXACS
2.3.1.136: Polysialic-acid O-acetyltransferase,cwCtHDrdUies
3.11.1.2: Phosphonoacetate hydrolase,mRwJnINJLkzD
4.6.1.17: NO_NAME,jNNvYtbxOAcL
4.2.1.79: 2-methylcitrate dehydratase,vahgXPcWDkwe
2.8.3.17: Cinnamoyl-CoA:phenyllactate CoA-transferase,xpOiYOrwwlMw
2.1.1.144: Trans-aconitate 2-methyltransferase,axirmgWGNClX
3.6.3.27: Phosphate-transporting ATPase,ljVlzAbKkBkQ
2.7.8.11: CDP-diacylglycerol--inositol 3-phosphatidyltransferase,nJuEaxjYuqlI
3.1.1.47: 1-alkyl-2-acetylglycerophosphocholine esterase,DKhPbgGvpqvo
"3.1.4.16: 2',3'-cyclic-nucleotide 2'-phosphodiesterase",JAZUJlDVsdLz
"1.10.3.14: Ubiquinol oxidase (electrogenic, non H(+)-transporting)",OVOkBrJYwKRB
6.2.1.3: Long-chain-fatty-acid--CoA ligase,tCVHdMuiAfnI
"3.7.1.22: 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)",kfvEjxnDRNZO
5.1.99.6: NAD(P)H-hydrate epimerase,ukOcsFtnMeKf
3.1.4.46: Glycerophosphodiester phosphodiesterase,mPCrMCpOTzLy
2.1.1.180: 16S rRNA (adenine(1408)-N(1))-methyltransferase,ygtzqDlELRKw
2.3.1.n2: Phosphate acyltransferase,uykHeTSqiazz
4.1.3.39: 4-hydroxy-2-oxovalerate aldolase,ckQJqOPgfArr
4.1.99.22: NO_NAME,ncKrJddvDWzo
1.3.8.7: Medium-chain acyl-CoA dehydrogenase,kSxeukTMcurw
2.5.1.141: NO_NAME,hgCFOmzyQiXf
3.2.2.1: Purine nucleosidase,NDaFptbvdQdx
5.1.3.1: Ribulose-phosphate 3-epimerase,OhNvELRBrdlU
3.1.12.1: 5' to 3' exodeoxyribonuclease (nucleoside 3'-phosphate-forming),UkCdOMpVwMCC
3.4.14.5: Dipeptidyl-peptidase IV,GxpDzhiXHXqU
5.4.1.2: Transferred entry: 5.4.99.61,kuQGhZpRAfTC
3.1.1.15: L-arabinonolactonase,xhvVyCHqQbia
1.17.2.1: Nicotinate dehydrogenase (cytochrome),DPRTHdlBCPrA
4.1.99.11: Benzylsuccinate synthase,rdXJufKqZouJ
"1.5.1.34: 6,7-dihydropteridine reductase",XDCGAGfDGEKj
"3.7.1.11: Cyclohexane-1,2-dione hydrolase",WfOMGrAzKMEV
2.7.1.11: 6-phosphofructokinase,ftfcCfihTkOY
3.1.3.2: Acid phosphatase,otgNmZmeqDig
6.3.4.4: Adenylosuccinate synthase,ukCxDdrFEhVC
3.6.1.12: dCTP diphosphatase,gTehCYdceNbr
4.2.1.1: Carbonate dehydratase,GATGTDCWeSeL
1.5.1.50: Dihydromonapterin reductase,vtOgjeoavtyu
1.1.1.262: 4-hydroxythreonine-4-phosphate dehydrogenase,DWSKOhMzDLIc
4.3.3.7: 4-hydroxy-tetrahydrodipicolinate synthase,IVZuVANlcSQH
3.1.1.81: Quorum-quenching N-acyl-homoserine lactonase,QhvcSufgdSAj
3.1.3.34: Deoxynucleotide 3'-phosphatase,PyhCFTLXTcYC
1.1.1.3: Homoserine dehydrogenase,gDpFAKdjWGaQ
2.7.1.66: Undecaprenol kinase,PHnJErnTUvgI
2.1.1.199: 16S rRNA (cytosine(1402)-N(4))-methyltransferase,kVFFXdoWbVTL
1.2.1.2: Formate dehydrogenase,BpbXtRguwhgL
"2.5.1.78: 6,7-dimethyl-8-ribityllumazine synthase",PHNvzPxamljv
2.8.1.10: Thiazole synthase,vrKtGRjtrlfu
7.2.1.1: NO_NAME,jlDvKBFKfBqe
1.21.98.1: Cyclic dehypoxanthinyl futalosine synthase,kvhOTcocuyQl
1.5.1.3: Dihydrofolate reductase,aDwZfFovqMOX
3.5.2.5: Allantoinase,tKhRNjpQblik
3.5.1.2: Glutaminase,WOcqsIyvEkzn
4.1.1.37: Uroporphyrinogen decarboxylase,UzEGTVlNgBVx
1.1.1.284: S-(hydroxymethyl)glutathione dehydrogenase,PQRRUkrrQXOF
1.3.1.n3: Curcumin reductase,JaHsBFPlqYoo
2.7.4.13: (Deoxy)nucleoside-phosphate kinase,SgmEhyBhxWAO
2.7.8.7: Holo-[acyl-carrier-protein] synthase,daZYYIeICTZs
2.7.7.80: Molybdopterin-synthase adenylyltransferase,WVuGKDUwEVeA
3.2.1.129: Endo-alpha-sialidase,cqEdaDCYCgWk
